query_id,gold_id,retrieved_id,first_relevant_rank,hit_at_k,recall_k,mrr,context_precision,context_recall,faithfulness,answer_relevancy
cau_hoi_00101,59,"59, 12, 27, 60, 83",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8186
cau_hoi_00102,22,"69, 52, 48, 15, 22",5.0000,1.0000,1.0000,0.2000,1.0000,1.0000,1.0000,0.7940
cau_hoi_00103,106,"112, 106, 28, 12, 59",2.0000,1.0000,1.0000,0.5000,0.6792,1.0000,0.6667,0.8757
cau_hoi_00104,98,"30, 98, 202, 136, 131",2.0000,1.0000,1.0000,0.5000,0.8875,1.0000,0.5000,0.8738
cau_hoi_00105,220,"222, 226, 219, 220, 227",4.0000,1.0000,1.0000,0.2500,1.0000,1.0000,1.0000,0.8688
cau_hoi_00106,62,"17, 67, 62, 144, 49",3.0000,1.0000,1.0000,0.3333,0.4167,1.0000,1.0000,0.8648
cau_hoi_00107,194,"147, 84, 85, 86, 194",5.0000,1.0000,1.0000,0.2000,0.9500,1.0000,0.8000,0.7709
cau_hoi_00108,226,"226, 222, 225, 227, 228",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.8900
cau_hoi_00109,47,"75, 83, 19, 47, 46",4.0000,1.0000,1.0000,0.2500,1.0000,1.0000,1.0000,0.8244
cau_hoi_00110,221,"221, 120, 11, 94, 178",1.0000,1.0000,1.0000,1.0000,0.8042,1.0000,1.0000,0.9893
cau_hoi_00111,89,"89, 5, 69, 51, 8",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8334
cau_hoi_00112,130,"209, 55, 130, 208, 210",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8651
cau_hoi_00113,189,"172, 189, 192, 180, 89",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8222
cau_hoi_00114,214,"214, 208, 209, 210, 205",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8334
cau_hoi_00115,131,"131, 130, 56, 96, 55",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8450
cau_hoi_00116,200,"79, 150, 72, 145, 64",,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8424
cau_hoi_00117,39,"70, 39, 69, 77, 54",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8444
cau_hoi_00118,140,"140, 192, 89, 73, 95",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8587
cau_hoi_00119,14,"14, 69, 100, 43, 105",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8780
cau_hoi_00120,118,"29, 118, 175, 37, 124",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8562
cau_hoi_00121,91,"91, 90, 38, 160, 111",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8479
cau_hoi_00122,158,"77, 149, 129, 70, 158",5.0000,1.0000,1.0000,0.2000,1.0000,1.0000,1.0000,0.8349
cau_hoi_00123,259,"160, 259, 260, 159, 18",2.0000,1.0000,1.0000,0.5000,0.5333,1.0000,0.8571,0.8048
cau_hoi_00124,98,"30, 98, 197, 202, 131",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8741
cau_hoi_00125,160,"188, 202, 136, 107, 160",5.0000,1.0000,1.0000,0.2000,0.7000,1.0000,0.6667,0.0000
cau_hoi_00126,195,"202, 203, 170, 175, 172",,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.0000
cau_hoi_00127,232,"232, 246, 256, 238, 248",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8661
cau_hoi_00128,53,"275, 53, 9, 46, 21",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8555
cau_hoi_00129,135,"135, 184, 136, 171, 172",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7948
cau_hoi_00130,171,"54, 171, 105, 149, 129",2.0000,1.0000,1.0000,0.5000,0.5000,1.0000,0.6667,0.8809
cau_hoi_00131,90,"91, 111, 69, 94, 149",,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8698
cau_hoi_00132,109,"41, 109, 126, 42, 242",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.6667,0.8465
cau_hoi_00133,67,"67, 144, 62, 79, 72",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.8546
cau_hoi_00134,22,"69, 15, 22, 7, 21",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8391
cau_hoi_00135,119,"119, 202, 203, 107, 158",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8838
cau_hoi_00136,83,"69, 51, 83, 48, 94",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8448
cau_hoi_00137,194,"84, 119, 136, 194, 202",4.0000,1.0000,1.0000,0.2500,1.0000,1.0000,1.0000,0.8507
cau_hoi_00138,246,"54, 63, 21, 7, 15",,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8789
cau_hoi_00139,"284, 285, 286","283, 286, 285, 284, 290",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.8000,0.8891
cau_hoi_00140,100,"105, 94, 100, 124, 171",3.0000,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,0.8497
cau_hoi_00141,17,"17, 62, 123, 19, 150",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.8760
cau_hoi_00142,245,"245, 70, 158, 149, 244",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8750
cau_hoi_00143,185,"106, 185, 202, 12, 203",2.0000,1.0000,1.0000,0.5000,0.9500,1.0000,1.0000,0.8882
cau_hoi_00144,103,"37, 29, 175, 118, 124",,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
cau_hoi_00145,72,"72, 64, 79, 145, 133",1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.8465
cau_hoi_00146,123,"123, 144, 136, 148, 101",1.0000,1.0000,1.0000,1.0000,0.8056,1.0000,1.0000,0.8731
cau_hoi_00147,247,"247, 256, 46, 114, 255",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8604
cau_hoi_00148,265,"27, 26, 239, 242, 107",,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.8543
cau_hoi_00149,80,"64, 72, 79, 80, 145",4.0000,1.0000,1.0000,0.2500,0.2500,1.0000,1.0000,0.8440
cau_hoi_00150,260,"260, 242, 239, 238, 241",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.7869
cau_hoi_00151,140,"192, 140, 89, 73, 95",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8571
cau_hoi_00152,64,"79, 72, 64, 145, 150",3.0000,1.0000,1.0000,0.3333,0.3333,1.0000,0.8000,0.0000
cau_hoi_00153,148,"45, 136, 184, 123, 191",,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
cau_hoi_00154,152,"81, 82, 152, 153, 160",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8502
cau_hoi_00155,,"248, 256, 236, 247, 250",,0.0000,,0.0000,1.0000,1.0000,1.0000,0.8525
cau_hoi_00156,144,"144, 62, 189, 123, 191",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.8849
cau_hoi_00157,197,"197, 186, 200, 201, 145",1.0000,1.0000,1.0000,1.0000,0.7000,1.0000,1.0000,0.8600
cau_hoi_00158,73,"197, 79, 72, 64, 133",,0.0000,0.0000,0.0000,0.5000,1.0000,0.8000,0.0000
cau_hoi_00159,269,"269, 23, 265, 95, 29",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8813
cau_hoi_00160,60,"60, 108, 77, 158, 19",1.0000,1.0000,1.0000,1.0000,0.7000,1.0000,0.5000,0.8731
cau_hoi_00161,102,"56, 57, 55, 102, 47",4.0000,1.0000,1.0000,0.2500,0.6389,1.0000,1.0000,0.8796
cau_hoi_00162,113,"113, 105, 124, 149, 100",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,0.6667,0.8890
cau_hoi_00163,142,"121, 142, 135, 63, 130",2.0000,1.0000,1.0000,0.5000,0.6792,1.0000,1.0000,0.8493
cau_hoi_00164,"63, 142","121, 63, 40, 57, 50",2.0000,1.0000,0.5000,0.5000,0.5333,1.0000,1.0000,0.8643
cau_hoi_00165,131,"136, 131, 93, 135, 270",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8581
cau_hoi_00166,"85, 86","147, 85, 86, 84, 194",2.0000,1.0000,1.0000,0.5000,0.6389,1.0000,1.0000,0.8128
cau_hoi_00167,139,"204, 139, 48, 83, 158",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.5000,0.8398
cau_hoi_00168,266,"266, 8, 50, 9, 97",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.8522
cau_hoi_00169,136,"136, 58, 242, 19, 154",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8571
cau_hoi_00170,27,"27, 26, 108, 239, 28",1.0000,1.0000,1.0000,1.0000,0.8875,1.0000,1.0000,0.8585
cau_hoi_00171,48,"48, 51, 69, 83, 139",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8620
cau_hoi_00172,126,"126, 37, 118, 175, 124",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8389
cau_hoi_00173,111,"111, 91, 126, 95, 94",1.0000,1.0000,1.0000,1.0000,0.8667,1.0000,0.7500,0.8610
cau_hoi_00174,116,"183, 202, 203, 195, 190",,0.0000,0.0000,0.0000,0.2000,0.5000,0.7500,0.0000
cau_hoi_00175,152,"81, 152, 82, 153, 133",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8552
cau_hoi_00176,181,"247, 246, 248, 256, 241",,0.0000,0.0000,0.0000,1.0000,0.6667,1.0000,0.8517
cau_hoi_00177,112,"112, 106, 272, 28, 269",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8361
cau_hoi_00178,89,"89, 172, 107, 202, 242",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8578
cau_hoi_00179,89,"89, 175, 172, 126, 183",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,0.7500,0.8461
cau_hoi_00180,220,"219, 223, 220, 222, 218",3.0000,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,0.8608
cau_hoi_00181,234,"108, 242, 107, 154, 202",,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cau_hoi_00182,22,"15, 22, 53, 34, 69",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.6667,0.8274
cau_hoi_00183,145,"145, 133, 150, 197, 151",1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,0.7500,0.8383
cau_hoi_00184,197,"197, 186, 200, 201, 145",1.0000,1.0000,1.0000,1.0000,0.7000,1.0000,1.0000,0.8455
cau_hoi_00185,172,"89, 173, 172, 170, 194",3.0000,1.0000,1.0000,0.3333,0.8333,1.0000,0.5000,0.8610
cau_hoi_00186,139,"139, 204, 158, 107, 121",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8012
cau_hoi_00187,162,"86, 162, 85, 84, 147",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.7950
cau_hoi_00188,9,"9, 97, 156, 50, 104",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8645
cau_hoi_00189,144,"144, 123, 62, 202, 101",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,1.0000,0.8590
cau_hoi_00190,182,"20, 105, 182, 171, 189",3.0000,1.0000,1.0000,0.3333,0.9500,1.0000,1.0000,0.8424
cau_hoi_00191,11,"11, 51, 94, 19, 46",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8687
cau_hoi_00192,51,"51, 11, 94, 48, 69",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8629
cau_hoi_00193,151,"80, 145, 197, 150, 200",,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8591
cau_hoi_00194,108,"242, 107, 108, 263, 27",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8576
cau_hoi_00195,131,"47, 46, 131, 270, 136",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8494
cau_hoi_00196,34,"34, 37, 15, 113, 45",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8697
cau_hoi_00197,175,"175, 183, 196, 178, 118",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8442
cau_hoi_00198,242,"242, 107, 108, 202, 203",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8436
cau_hoi_00199,290,"286, 287, 290, 285, 281",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8227
cau_hoi_00200,226,"226, 222, 225, 220, 219",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8718
cau_hoi_00201,72,"72, 145, 64, 79, 80",1.0000,1.0000,1.0000,1.0000,0.8667,1.0000,1.0000,0.8435
cau_hoi_00202,178,"106, 178, 196, 195, 194",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.7500,0.8729
cau_hoi_00203,125,"136, 196, 131, 138, 135",,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,0.0000
cau_hoi_00204,265,"265, 267, 263, 266, 27",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8862
cau_hoi_00205,85,"77, 48, 85, 39, 62",3.0000,1.0000,1.0000,0.3333,1.0000,0.3333,1.0000,0.8630
cau_hoi_00206,251,"80, 82, 151, 74, 153",,0.0000,0.0000,0.0000,1.0000,0.0000,0.6667,0.8537
cau_hoi_00207,201,"197, 201, 200, 186, 202",2.0000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,0.8880
cau_hoi_00208,111,"111, 42, 19, 8, 126",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7000,0.0000
cau_hoi_00209,263,"263, 108, 242, 267, 265",1.0000,1.0000,1.0000,1.0000,0.8875,1.0000,0.7500,0.8657
cau_hoi_00210,13,"13, 57, 56, 46, 55",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8559
cau_hoi_00211,244,"244, 70, 149, 245, 199",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8700
cau_hoi_00212,69,"69, 48, 51, 83, 34",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8548
cau_hoi_00213,91,"91, 38, 19, 69, 37",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8592
cau_hoi_00214,42,"111, 58, 42, 69, 136",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8484
cau_hoi_00215,12,"12, 59, 108, 106, 112",1.0000,1.0000,1.0000,1.0000,0.7000,1.0000,0.6667,0.8586
cau_hoi_00216,239,"27, 26, 108, 239, 28",4.0000,1.0000,1.0000,0.2500,1.0000,1.0000,1.0000,0.8779
cau_hoi_00217,126,"37, 41, 126, 118, 175",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.6667,0.8343
cau_hoi_00218,94,"94, 11, 51, 90, 19",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8583
cau_hoi_00219,67,"67, 98, 48, 144, 62",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,1.0000,0.8547
cau_hoi_00220,70,"70, 39, 149, 48, 199",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8590
cau_hoi_00221,14,"15, 69, 21, 54, 20",,0.0000,0.0000,0.0000,0.0000,0.0000,0.8750,0.0000
cau_hoi_00222,"289, 290","286, 281, 284, 285, 287",,0.0000,0.0000,0.0000,0.9167,0.3333,0.8750,0.8762
cau_hoi_00223,257,"257, 256, 121, 131, 276",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8567
cau_hoi_00224,140,"192, 140, 89, 209, 73",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8446
cau_hoi_00225,117,"108, 119, 154, 8, 202",,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000
cau_hoi_00226,136,"98, 136, 58, 19, 154",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.7811
cau_hoi_00227,90,"90, 94, 45, 11, 19",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8352
cau_hoi_00228,133,"145, 150, 133, 197, 186",3.0000,1.0000,1.0000,0.3333,0.3667,1.0000,1.0000,0.8594
cau_hoi_00229,155,"112, 202, 155, 136, 107",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8255
cau_hoi_00230,153,"153, 82, 152, 81, 151",1.0000,1.0000,1.0000,1.0000,0.9500,1.0000,1.0000,0.8624
cau_hoi_00231,161,"242, 107, 202, 126, 109",,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000
cau_hoi_00232,"152, 81","81, 82, 152, 153, 64",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8506
cau_hoi_00233,233,"233, 242, 107, 95, 119",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8671
cau_hoi_00234,208,"46, 65, 208, 209, 53",3.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.5000,0.8247
cau_hoi_00235,202,"202, 107, 108, 242, 203",1.0000,1.0000,1.0000,1.0000,0.8042,1.0000,0.2500,0.0000
cau_hoi_00236,149,"149, 199, 70, 39, 129",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8557
cau_hoi_00237,"127, 52","52, 127, 160, 154, 11",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8901
cau_hoi_00238,112,"112, 106, 119, 194, 275",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8819
cau_hoi_00239,139,"139, 48, 83, 204, 118",1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,1.0000,0.8462
cau_hoi_00240,105,"105, 20, 121, 124, 136",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8042
cau_hoi_00241,101,"101, 123, 17, 144, 62",1.0000,1.0000,1.0000,1.0000,0.8333,1.0000,0.6667,0.8850
cau_hoi_00242,26,"27, 26, 239, 108, 242",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8695
cau_hoi_00243,29,"29, 37, 118, 23, 175",1.0000,1.0000,1.0000,1.0000,0.8042,1.0000,1.0000,0.8833
cau_hoi_00244,73,"73, 140, 192, 269, 23",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8672
cau_hoi_00245,95,"95, 23, 180, 29, 118",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8692
cau_hoi_00246,"151, 80, 201","80, 64, 151, 201, 145",1.0000,1.0000,1.0000,1.0000,0.8056,1.0000,1.0000,0.8097
cau_hoi_00247,209,"209, 208, 192, 140, 89",1.0000,1.0000,1.0000,1.0000,0.7556,1.0000,1.0000,0.8615
cau_hoi_00248,204,"204, 48, 68, 202, 196",1.0000,1.0000,1.0000,1.0000,0.8875,1.0000,0.6667,0.8744
cau_hoi_00249,68,"48, 68, 33, 69, 204",2.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.6667,0.8478
cau_hoi_00250,77,"77, 48, 45, 39, 148",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.8654
